climber_id,group,baseline_crimp_kg,week8_crimp_kg,gain_kg,climbing_sessions_per_week
C01,max_effort_hangs,5.5,7.8,2.3,1.5
C02,controlled_hangs,8.6,15.5,7.0,5.0
C03,max_effort_hangs,5.8,8.2,2.4,4.1
C04,controlled_hangs,13.8,20.8,7.0,2.0
C05,max_effort_hangs,8.7,12.0,3.3,3.9
C06,max_effort_hangs,16.4,21.1,4.7,2.9
C07,controlled_hangs,15.8,15.9,0.2,2.6
C08,controlled_hangs,14.1,19.2,5.1,2.7
C09,max_effort_hangs,2.4,1.2,-1.2,5.1
C10,max_effort_hangs,12.3,9.2,-3.1,3.1
C11,controlled_hangs,14.8,18.0,3.3,3.0
C12,controlled_hangs,15.6,16.7,1.1,2.1
C13,controlled_hangs,7.3,12.5,5.1,4.1
C14,max_effort_hangs,12.6,21.7,9.1,1.4
C15,max_effort_hangs,10.1,10.9,0.8,3.7
C16,controlled_hangs,11.0,13.0,2.0,2.2
C17,max_effort_hangs,20.3,24.6,4.3,4.8
C18,controlled_hangs,11.0,16.4,5.4,2.4
C19,max_effort_hangs,14.8,17.1,2.3,2.5
C20,max_effort_hangs,19.4,21.5,2.1,2.3
C21,controlled_hangs,12.1,18.5,6.4,3.3
C22,max_effort_hangs,14.4,18.8,4.4,2.6
C23,controlled_hangs,15.6,16.6,1.0,2.8
C24,controlled_hangs,15.3,19.9,4.6,4.6
